1,1348034028,None
2,1348034031,None
3,1348034063,None
4,1348034066,None
5,1348034079,None
6,1348034181,None
7,1348034196,None
8,1348034254,None
9,1348034284,None
10,1348034321,None
11,1348034328,None
12,1348034338,None
13,1348034339,None
14,1348034413,None
15,1348034416,None
16,1348034461,None
17,1348034516,None
18,1348034543,None
19,1348034597,None
20,1348034600,None
21,1348034620,None
22,1348034623,None
23,1348034638,None
24,1348034662,None
25,1348034729,None
26,1348034766,None
27,1348034793,None
28,1348034983,None
29,1348035024,None
30,1348035100,None
31,1348035147,None
32,1348035166,None
33,1348035166,None
34,1348035270,None
35,1348035289,None
36,1348035331,None
37,1348035345,None
38,1348035406,None
39,1348035435,None
40,1348035456,None
41,1348035487,None
42,1348035504,None
43,1348035508,None
44,1348035539,None
45,1348035681,None
46,1348035714,None
47,1348035720,None
48,1348035733,None
49,1348035808,None
50,1348035817,None
51,1348035888,None
52,1348036007,None
53,1348036011,None
54,1348036028,None
55,1348036057,None
56,1348036079,None
57,1348036147,None
58,1348036188,None
59,1348036221,None
60,1348036309,None
61,1348036344,None
62,1348036361,None
63,1348036401,None
64,1348036537,None
65,1348036539,None
66,1348036539,None
67,1348036564,None
68,1348036570,None
69,1348036570,None
70,1348036570,None
71,1348036570,None
72,1348036571,None
73,1348036641,None
74,1348036693,None
75,1348036717,None
76,1348036718,None
77,1348036743,None
78,1348036745,None
79,1348036799,None
80,1348036840,None
81,1348036883,None
82,1348036925,None
83,1348036977,None
84,1348037023,None
85,1348037091,None
86,1348037097,None
87,1348037210,None
88,1348037230,None
89,1348037263,None
90,1348037295,None
91,1348037349,None
92,1348037434,None
93,1348037450,None
94,1348037451,None
95,1348037462,None
96,1348037463,None
97,1348037471,None
98,1348037484,None
99,1348037506,None
100,1348037530,None
101,1348037539,None
102,1348037566,None
103,1348037567,None
104,1348037683,None
105,1348037705,None
106,1348037758,None
107,1348037786,None
108,1348037795,None
109,1348037800,None
110,1348037810,None
111,1348037848,None
112,1348037869,None
113,1348037889,None
114,1348037971,None
115,1348038102,None
116,1348038109,None
117,1348038285,None
118,1348038286,None
119,1348038295,None
120,1348038484,None
121,1348038516,None
122,1348038537,None
123,1348038552,None
124,1348038671,None
125,1348038707,None
126,1348038735,None
127,1348038890,None
128,1348038917,None
129,1348039012,None
130,1348039107,None
